column idx,column name,,"save, delete, maybe","binary, keep == 1"
0, 'strm',,d,0
1, 'crseId',,s,1
2, 'crseOfferNbr',,m,1
3, 'subject',,s,1
4, 'catalogNbr',,s,1
5, 'titleShort',,d,0
6, 'titleLong',,s,1
7, 'enrollGroups',,d,0
8, 'description',,s,1
9, 'catalogBreadth',,d,0
10, 'catalogDistr',,d,0
11, 'catalogLang',,d,0
12, 'catalogForbiddenOverlaps',,k,1
13, 'catalogAttribute',,m,1
14, 'catalogWhenOffered',,s,1
15, 'catalogComments',,s,1
16, 'catalogPrereqCoreq',,s,1
17, 'catalogFee',,m,1
18, 'catalogSatisfiesReq',,m,1
19, 'catalogPermission',,s,1
20, 'catalogCourseSubfield',,s,1
21, 'catalogOutcomes',,d,0
22, 'acadCareer',,s,1
23, 'acadGroup',,s,1
24, 'unitsMinimum',,s,1
25, 'unitsMaximum',,s,1
26, 'componentsOptional',,d,0
27, 'componentsRequired',,s,1
28, 'gradingBasis',,s,1
29, 'gradingBasisShort',,d,0
30, 'gradingBasisLong',,s,1
31, 'simpleCombinations',,d,0
32, 'sessionCode',,d,0
33, 'sessionBeginDt',,m?,1
34, 'sessionEndDt',,s,1
35, 'sessionLong',,s,1
36, 'ssrComponent',,d,0
37, 'ssrComponentLong',,s,1
38, 'section',,d,0
39, 'classNbr',,s,1
40, 'campus',,d,0
41, 'campusDescr',,d,0
42, 'location',,d,0
43, 'locationDescr',,s,1
44, 'startDt',,s,1
45, 'endDt',,s,1
46, 'addConsent',,d,0
47, 'addConsentDescr',,d,0
48, 'isComponentGraded',,d,0
49, 'instructionMode',,s,1
50, 'instrModeDescrshort',,d,0
51, 'instrModeDescr',,s,1
52, 'topicDescription',,d,0
53, 'classMtgNbr',,d,0
54, 'timeStart',,s,1
55, 'timeEnd',,s,1
56, 'startDt_copy',,s,1
57, 'endDt_copy',,s,1
58, 'pattern',,s,1
59, 'facilityDescr',,s,1
60, 'bldgDescr',,s,1
61, 'facilityDescrshort',,d,0
62, 'meetingTopicDescription',,d,0
63, 'instrAssignSeq',,d,0
64, 'netid',,s,1
65, 'firstName',,s,1
66, 'middleName',,s,1
67, 'lastName',,s,1
68, 'classNotesSeq',,d,0
69, 'descrlong',,s,1
70, 'notes',,d,0
71, 'subject_copy',,d,0
72, 'catalogNbr_copy',,d,0
73, 'type',,d,0
74, 'instructors',,d,0
75, 'meetings',,d,0